FundingOrgName,Department,Title,StartDate,EndDate,Status,GTRProjectUrl,FundingAmount
EPSRC,Environmental Change Institute SoGE,MISTRAL: Multi-scale Infrastructure Systems Analytics,11/02/2016,10/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N017064/1,5374638.0
AHRC,"Sch of History, Art History & Philosophy",Legacies of Catalogue Descriptions and Curatorial Voice: Opportunities for Digital Scholarship,10/02/2020,09/02/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/T013036/1,80602.0
EPSRC,Physics,RS Fellow - EPSRC grant (2016): Investigating Measurement Incompatibility in Quantum Theory,09/10/2017,08/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R00644X/1,263468.0
ESRC,Geography,On Shape and Being Shaped; The relation between overweight and obesity in London's schoolchildren and the energy-expending characteristics of their bu,01/10/2017,08/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1947384,0.0
EPSRC,Mathematics and Statistics,Stochastic gradient descent for optimal design in ordinary differential equations,26/09/2016,08/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1775675,0.0
AHRC,Journalism Media and Cultural Studies,Screen Agencies as Cultural Intermediaries:Negotiating and Shaping Cultural Policy for the Film and TV Industries within Selected Small Nations,05/06/2018,08/02/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/R005591/1,179949.0
EPSRC,Engineering,Advanced Nanotube Application and Manufacturing (ANAM) Initiative,08/05/2015,07/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/M015211/1,2811852.0
EPSRC,Materials,Polymeric Surfactants to Stabilise Emulsions,07/01/2017,07/02/2021,Active,https://gtr.ukri.org:443/projects?ref=2162310,0.0
NERC,Civil & Environmental Engineering,Interactive visualization and communication of hydrological information to support multi-level natural hazard reduction and resilience building,08/02/2018,07/02/2021,Active,https://gtr.ukri.org:443/projects?ref=2104286,0.0
EPSRC,Mechanical Engineering Sciences,Next generation curved deployable flexible booms for high precision applications,06/08/2018,05/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R044902/1,212031.0
EPSRC,"Bartlett Sch of Env, Energy & Resources",Semantic data models for built environment,06/02/2017,05/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1828831,0.0
NERC,"School of Water, Energy and Environment",Reducing water leakage through the development of high resolution soil maps,06/02/2018,05/02/2021,Active,https://gtr.ukri.org:443/projects?ref=2066265,0.0
NERC,"School of Water, Energy and Environment",Understanding the impact of future development schemes on the natural environment,05/02/2018,04/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1990415,0.0
BBSRC,Experimental Psychology,Brain pathways for visually-guided defence behaviours,05/02/2018,04/02/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R004765/1,399109.0
MRC,"Metabolism, Digestion and Reproduction","Information Fusion of Cognition, and Brain MRI on Cardio-Metabolic Risk Factors in the Middle-Aged: the CARDIA Study",05/02/2018,04/02/2021,Active,https://gtr.ukri.org:443/projects?ref=2366862,0.0
NERC,Earth Sciences,The role of cranial biomechanics and feeding in clade diversification and early dinosaur evolution,05/02/2018,04/02/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/R000077/1,398098.0
EPSRC,School of Physics and Astronomy,PLAIN-GG: Phase-Locked Atomic INterferometers for Gravity Gradiometry,05/02/2018,04/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R041806/1,246391.0
BBSRC,Coronaviruses,Using synthetic biology to generate novel vaccines against avian infectious bronchitis virus (IBV),05/02/2018,04/02/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/P019137/1,531441.0
ESRC,Social Sciences,Urban Ageing and Social Exclusion,01/03/2016,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=ES/N002180/1,224158.0
BBSRC,Sch of Pharmacy,U53MicroRNA subcellular localisation,01/10/2016,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1804228,0.0
BBSRC,Sch of Chemistry,"Spider silk membranes: structure, function and artificial synthesis.",01/10/2016,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1797303,0.0
BBSRC,School of Medicine,Vascular endothelial growth factors and Alzheimer's disease,01/10/2016,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1795458,0.0
BBSRC,School of Life Sciences,Human skeletal muscle lipid metabolism,01/10/2016,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1803669,0.0
BBSRC,School of Life Sciences,Bacteriocins from environmental samples that kill clostridia,01/10/2016,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=1803623,0.0
AHRC,English,Provincialism: Literature and the Cultural Politics of Middleness in Nineteenth Century Britain,04/02/2019,03/02/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/S002545/1,199552.0
MRC,Institute of Cancer and Genomic Sciences,Characterisation of Chromatin Landscapes of Pre-leukaemic and Leukaemic Stem Cells in Core Binding Factor AML and their Response to Epigenetic Therapy,03/08/2017,02/02/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P019609/1,241298.0
MRC,Dept of Surgery and Cancer,The critical role of microvesicles derived from lung-marginated monocytes in ventilator-induced lung injury,02/08/2017,02/02/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R001472/1,273580.0
MRC,Genetics and Molecular Medicine,Investigating the role of Lactobacillus Crispatus in healthy skin and psoriasis,05/04/2017,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P001394/1,308098.0
NC3Rs,Pharmacology,REDUCING ANIMAL USE IN THROMBOSIS RESEARCH WITH AN EX VIVO INJURY MODEL,02/10/2016,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=NC/N002350/1,90000.0
EPSRC,Computer Science,Cross-modal Interactive Tools for Inclusive Learning,02/03/2016,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N00616X/2,706194.0
MRC,Institute of Translational Medicine,Developing new drugs for pneumonia in the era of antimicrobial resistance,02/08/2017,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R016895/1,302141.0
MRC,Institute of Translational Medicine,Immune-checkpoint therapy in non-small cell lung carcinoma:molecular characterisation of tumour microenvironment to improve anti-PD1/PD-L1 drug class.,02/08/2017,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R016909/1,240333.0
BBSRC,Chemistry,Collective Behaviour in Synthetic Protocell Consortia,01/12/2017,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/P017320/1,706499.0
EPSRC,Mathematical Sciences,RS Fellow - EPSRC grant (2016): Spatial fragmentations,02/10/2017,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R005249/1,203587.0
MRC,Haematology,Precision targeting of mTOR in conventional and MHC class I-restricted anti-tumour CD4+ T cells,02/08/2017,01/02/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P019072/1,288314.0
MRC,Biosciences,IMPACT OF FUNGAL ADAPTATION UPON HOST RECOGNITION AND PATHOGENESIS,01/09/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/M026663/2,857701.0
ESRC,Educational Research,"Gender diversification of the early years education workforce: Recruiting, supporting and retaining male practitioners",01/09/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=ES/R007632/1,288347.0
ESRC,Economics,The new bail-in doctrine: from an agent based model to the empirical findings,26/09/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1946997,0.0
BBSRC,Sch of Psychology,Taking the rough with the smooth: aging effects on tactile surface texture perception,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R001847/1,32164.0
EPSRC,School of Mathematics,EPSRC Centre for Predictive Modelling in Healthcare,01/01/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N014391/2,242649.0
EPSRC,Physics and Astronomy,InterPol: Polariton lattices: a solid-state platform for quantum simulations of correlated and topological states,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R04385X/1,268772.0
NERC,Sch of Biological and Marine Sciences,Physical and biological dynamic coastal processes and their role in coastal recovery (BLUE-coast),01/05/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/N015525/1,772932.0
EPSRC,Chemistry,Chemical control of function beyond the unit cell for new electroceramic materials,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R011753/1,742473.0
EPSRC,Dept of Mechanical Engineering,Mechanochemistry in Lubrication,01/08/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P030211/1,578903.0
EPSRC,Sch of Engineering,Integration of RF Circuits with High Speed GaN Switching on Silicon Substrates,01/01/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N014820/2,513015.0
NERC,Geography and Planning,Physical and biological dynamic coastal processes and their role in coastal recovery (BLUE-coast),01/05/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/N015614/1,381753.0
EPSRC,Electrical and Electronic Engineering,A Unified Multiple Access Framework for Next Generation Mobile Networks By Removing Orthogonality (MANGO),10/04/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P009719/2,244458.0
ESRC,Geography and Sustainable Development,Exploring the effect of location and environment on human mobility flows with Big Data Analytics,27/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1948471,0.0
BBSRC,Psychology,Laboratory soundscapes: optimising acoustic environments for avian welfare,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R003777/1,618239.0
BBSRC,Food and Nutritional Sciences,Linking biochemistry and genetics in celery to taste and flavour perceived by consumers: developing a more acceptable product,01/09/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1938090,0.0
BBSRC,Ear Institute,How the brain detects patterns in sound sequences,01/08/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/P003745/1,489505.0
AHRC,Edinburgh College of Art,Communities at the Fringe,01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1948498,0.0
BBSRC,College of Life Sci and Med Graduate Sch,Development of a proteomics platform to monitor immune responses in non-mammals.,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1805428,0.0
AHRC,Faculty of Media and Communication,EnDOW Community. Public engagement in orphan works clearance to unlock access to UK film archives,01/02/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/T005017/1,76873.0
EPSRC,Physics,Synthesis of Novel Synthetic Magnetic Materials Optimised for RF and Microwave Applications,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1771248,0.0
EPSRC,Horizon Digital Economy Research,DADA,05/09/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R03351X/1,1011786.0
ESRC,Politics and International Relations,The Annexation of Populations: A New State Strategy?,01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1923572,0.0
AHRC,School of Arts,From Sea to Sea: Working Techniques and Trade in Organic Luxuries from the Indian Ocean to the Mediterranean (1500-500BCE),01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1947874,0.0
BBSRC,Biological Sciences,Releasing natural variation in bread wheat by modulating meiotic crossovers,01/02/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/N002628/1,2893042.0
ESRC,Sch of Philosophy Psychology & Language,Understanding the links between maternal infections and stress during pregnancy and children's developmental and social-emotional outcomes,01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1939485,0.0
EPSRC,Mechanical Aerospace and Civil Eng,Bone Bricks: Cost effective modular osseointegrated prosthetics for large bone loss surgical procedures,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R015139/1,828910.0
NERC,Oxford Physics,Robust Spatial Projections of Real-World Climate Change,01/02/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/N01815X/1,410263.0
MRC,Clinical Neurosciences,The role of astrocytes in early pathogenesis of motor neuron disease: a mechanistic study of neuronal degeneration and synaptic alterations,01/02/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P008658/1,909960.0
EPSRC,Materials,Polariton lattices: a solid-state platform for quantum simulations of correlated and topological states,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R044058/1,169920.0
BBSRC,Chemistry,Simulated isotope exchange patterns for protein structure determination,01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R006792/1,221408.0
AHRC,School of Social Sciences,Policy development oriented research leading to counter human trafficking protection and prevention policies in Kenya.,01/02/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/T011769/1,127007.0
NERC,Institute of Aquaculture,"Climate related size shifts in aquatic species: mechanism, prediction and mitigation",01/04/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P012183/2,496360.0
EPSRC,School of Engineering,Geothermally Sourced Combined Power and Freshwater Generation for Eastern Africa (Combi-Gen),01/05/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P028829/1,1341747.0
EPSRC,Sch of Engineering & Digital Arts,Passively Powered Non-invasive Human Body Sensing on Bio-Degradable Conformal Substrates,01/08/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P027075/1,649398.0
MRC,School of Public Health,Identifying a package of cost-effective interventions to address non-communicable diseases in Gaza,01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/S012877/1,185361.0
AHRC,Archaeology,A multi-isotope base map for Jordan: a tool for re-examining movement and community in the past,01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/S011676/1,200405.0
BBSRC,School of Biological Sciences,The role of ADAMTS-like proteins in fibrillin microfibril assembly,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R008221/1,487694.0
EPSRC,School of Computer Science,"Understanding scenes and events through joint parsing, cognitive reasoning and lifelong learning",01/01/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N019415/1,841387.0
EPSRC,Computer Science,Co-designing Community-based ICTs Interventions to Enhance Maternal and Child Health in South Africa,01/05/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/T030429/1,129696.0
NERC,Geography,"NSFDEB-NERC: Addressing the plant growth C source-sink debate through observations, experiments, and modelling",01/06/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P011462/1,366850.0
EPSRC,Materials,Urban Albedo Computation in High Latitude Locations: An Experimental Approach,01/08/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P025153/1,201249.0
EPSRC,Electrical and Electronic Engineering,The UK Programmable Fixed and Mobile Internet Infrastructure (INITIATE),01/02/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P003974/1,1676408.0
NERC,Scottish Association For Marine Science,Measuring ADD Noise in TIdal Streams (MANTIS): Could Acoustic Deterrent Devices (ADDs) reduce risk of marine mammal collisions with tidal turbines?,01/01/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/R014132/1,331629.0
MRC,Centre for Clinical Brain Sciences,Cellular and molecular insights into neurodegeneration mediated by the C9orf72 gene mutation,01/08/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R001162/1,317133.0
EPSRC,Science and Technology,Newton Fund: Applying nature-based coastal defence to the world's largest urban area - from science to practice,01/11/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R024537/2,88530.0
NERC,Civil Engineering,Brazilian Experimental datasets for MUlti-Scale interactions in the critical zone under Extreme Drought (BEMUSED),01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/R004897/1,39878.0
BBSRC,"College of Medical, Veterinary &Life Sci",A microbial basis for Atlantic Salmon energetics,01/04/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/P001203/1,587859.0
NERC,School of Earth and Environment,Perturbation of the Earth system at the Proterozoic-Phanerozoic transition and the resilience of the biosphere,09/01/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P013627/1,70594.0
MRC,School of Life Sciences,Defining and exploiting the role of PML protein in innate immune responses to pathogens,24/07/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P022901/1,430563.0
EPSRC,Dept of Physics,TheBlinQC,01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R043817/2,211685.0
BBSRC,Sch of Molecular & Cellular Biology,A virus-induced specialised ribosome,01/02/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/N014405/1,466043.0
ESRC,Warwick Business School,Diffusing excellence across UK foundries and metal-forming firms,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=ES/S001786/1,272992.0
BBSRC,Astbury Centre,The rainbow cell - enabling technologies for immunofluorescence of living cells,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1775197,0.0
EPSRC,Dept of Physics,Light sheet fluorescence microscopy for high speed 3-D imaging: applications to the study of heart disease and cancer cell invasion,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1858780,0.0
MRC,School of Medicine,Systematic characterisation of the HCMV pathogenicity domain spontaneously lost from commonly used passaged strains,01/12/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P001602/1,747211.0
MRC,The Roslin Institute,Understanding and manipulating innate-like B cell mechanisms to prevent stroke-associated infection,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R001316/1,1069706.0
NERC,Science and Technology,Arctic PRoductivity in the seasonal Ice ZonE (Arctic PrIZE),01/11/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/P006078/2,12761.0
AHRC,Hispanic Studies,Imperial Entanglements: Transoceanic Basque Networks in British and Spanish Colonialism and their Legacy,01/07/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/N001184/1,433184.0
MRC,Epidemiology and Population Health,The CRASH-3 Trial: Tranexamic acid for the treatment of significant traumatic brain injury.,01/11/2014,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/M009211/1,2841141.0
EPSRC,Physics and Astronomy,Nanoelectromechanics in van der Waals heterostructures,01/02/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N007131/1,1207766.0
ESRC,UCL Institute for Global Prosperity,"Collaborative infrastructures for just, ecological and transformative urban design",01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1923152,0.0
BBSRC,Research,"Molecular control of fate decisions: reconstructing neural, neural crest and placode cell lineages",01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/R006997/1,47062.0
MRC,Clinical Neuroscience,Dopaminergic Therapy in Parkinson's disease. From a 'Honeymoon' stable responses to the development of 'jerky' dyskinesias.,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1856197,0.0
EPSRC,Electrical and Electronic Engineering,Passively Powered Non-invasive Human Body Sensing on Bio-Degradable Conformal Substrates,26/05/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/P02713X/1,655878.0
EPSRC,Physics and Astronomy,Fundamental studies of zincblende nitride structures for optoelectronic applications,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R010250/1,495375.0
AHRC,Sch of Music,The Garden of Forking Paths: material-indeterminacy driving open-form composition for clarinets,01/08/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/S006893/1,201390.0
AHRC,CCW Grad School,Linked Conservation Data - phase 2,01/02/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/T013125/1,80576.0
BBSRC,Crop Genetics,18-BTT: Advancing hybrid wheat production through the use of novel pathways for male sterility,01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=BB/S019987/1,114042.0
ESRC,Management School,International Stock Return Predictability: Evidence from Industry Portfolios,01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1948505,0.0
MRC,Clinical Neurosciences,Mechanisms of motivation and their disturbance in neurological disease,01/02/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/P00878X/1,1046357.0
NERC,School of Interdisciplinary Studies,River basins as 'living laboratories' for achieving sustainable development goals across national and sub-national scales,01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/S012427/1,323319.0
ESRC,"Sch of Languages, Cultures and Societies","Children's experience, understanding, and use of adjectives across the socioeconomic spectrum.",01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=ES/P010296/1,243465.0
EPSRC,School of Computer Science,Functional Integration of an Interactive Artificial Intelligence System,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=2004017,0.0
EPSRC,Computer Science,Enabling Clinical Decisions From Low-power MRI In Developing Nations Through Image Quality Transfer,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R014019/1,1035545.0
AHRC,English,Land rights in rural South Africa: Creating a record of practice in an ongoing crisis,01/05/2020,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/T011815/1,88468.0
BBSRC,School of Biological Sciences,Rational design of glycan-based drugs for inflammatory disease,01/10/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1792538,0.0
NERC,Geography,Physical and biological dynamic coastal processes and their role in coastal recovery (BLUE-coast),01/05/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=NE/N015924/1,59733.0
EPSRC,Engineering,Fast ASsessment and Treatment in Healthcare (FAST Healthcare),01/08/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N027000/1,628709.0
EPSRC,Sch of Chemistry,High pressure studies of hard materials,01/10/2017,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=1941084,0.0
ESRC,Sch of Natural Sciences,MobilES - Using mobile-phone technology to capture ecosystem service information,01/10/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=ES/R009279/1,218797.0
EPSRC,Sch of Chemistry,Integrated computational and synthetic tools to drive the discovery of orthosteric protein-protein interaction inhibitors,01/02/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/N013573/1,2751526.0
EPSRC,"Sch of Aerospace, Transport & Manufact",Distributed Intelligent Ultrasound Imaging System for Secure in-community Diagnostics (SecureUltrasound),01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R013950/1,970750.0
EPSRC,Physics and Astronomy,Quantum Code Design And Architecture,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=EP/R043647/1,246718.0
AHRC,Geography,"Local Community Experiences of and Responses to Conflict-Induced Displacement from Syria: Views from Lebanon, Jordan and Turkey",01/09/2016,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/P005438/1,653033.0
MRC,MRC Human Genetics Unit,Precision medicine and the mutational landscape of high grade serous ovarian cancer,01/02/2018,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=MR/R026017/1,258756.0
AHRC,Sch of Geosciences,"Visibilizing Afro cultural connections and geopolitical dynamics in Nicaragua, Colombia, San Andr&eacute;s and Providencia",01/02/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/S005625/1,80629.0
AHRC,History,Learning lessons from wartime education projects in South Sudan,01/01/2019,31/01/2021,Active,https://gtr.ukri.org:443/projects?ref=AH/S003789/1,53171.0
